source,translation
I have no other choice,tôi không có sự lựa chọn nào khác
What happened was an accident.,những gì đã xảy ra là một tai nạn.
"When I came to, I found myself in the hospital","Khi tôi đến, tôi thấy mình trong bệnh viện"
I have a red bicycle.,Tôi có một chiếc xe đạp màu đỏ.
I did not make it myself,tôi đã không tự làm
I want to tell Tom good night.,tôi muốn nói với tom chúc ngủ ngon
We live in the atomic age.,chúng ta sống trong thời đại nguyên tử.
My watch needs only minor repairs,đồng hồ của tôi chỉ cần sửa chữa nhỏ
We ask the teacher questions every day.,chúng tôi hỏi các câu hỏi của giáo viên mỗi ngày.
Please be sure to close the cap properly after use,hãy chắc chắn để đóng nắp đúng cách sau khi sử dụng
A dog followed me to my house.,Một con chó theo tôi đến nhà tôi.
I was here all the time,tôi đã ở đây mọi lúc
The chicken has already been eaten.,gà đã được ăn
Tom and Mary played ping pong,tom và mary chơi bóng bàn
I really appreciate you meeting with me.,Tôi thực sự đánh giá cao bạn gặp tôi.
We are not crazy,chúng tôi không điên
I had a feeling that Tom was in trouble.,tôi có cảm giác tom đang gặp rắc rối.
Tom was sitting on the table,tom đang ngồi trên bàn
I can not tell you how long I have been waiting for this.,Tôi không thể nói cho bạn biết tôi đã chờ đợi điều này bao lâu.
I would like to be rich and not have to worry about money,tôi muốn giàu có và không phải lo lắng về tiền bạc
Have you learned all the letters in the alphabet?,bạn đã học tất cả các chữ cái trong bảng chữ cái chưa?
It was hard to believe,thật khó tin
You are going to have fun.,bạn sẽ vui vẻ
Many parents are worried their children are not being given a basic understanding of numbers,Nhiều bậc cha mẹ lo lắng con cái họ không được hiểu cơ bản về các con số
You look very lovely tonight.,bạn trông rất đáng yêu tối nay
What is in the truck?,những gì trong xe tải?
That would be perfect.,đó sẽ là hoàn hảo
Take a bite,cắn một miếng
Tom asked for a higher salary.,tom yêu cầu mức lương cao hơn.
I think that you are twenty years old,tôi nghĩ rằng bạn hai mươi tuổi
Mary and Alice pretended they were sisters.,mary và alice giả vờ rằng họ là chị em.
Tom could tell Mary was not persuaded,Tom có thể nói mary không bị thuyết phục
What is my balance?,số dư của tôi là gì?
I am divorced,tôi đã ly hôn
Can you shed any light on this?,bạn có thể làm sáng tỏ về điều này?
Success does not come easily,thành công không đến dễ dàng
Tom became afraid of Mary.,Tom trở nên sợ mary.
The game lacked excitement,trò chơi thiếu hứng thú
Look up the words in your dictionary.,tra cứu các từ trong từ điển của bạn.
I would better see him,tôi nên gặp anh ấy
I do not feel like doing anything.,tôi không cảm thấy muốn làm gì cả
Some people consider Led Zeppelin the greatest band ever,một số người coi led zeppelin là ban nhạc vĩ đại nhất
Perhaps you misunderstood.,có lẽ bạn đã hiểu lầm.
She is very afraid of snakes,cô ấy rất sợ rắn
Tom stopped shivering.,tom ngừng run.
Let us call it a day,chúng ta hãy gọi nó là một ngày
I am sorry you got fired.,Tôi xin lỗi bạn đã bị sa thải.
I hear a dog barking in the woods,tôi nghe thấy một con chó sủa trong rừng
I can do anything I want.,tôi có thể làm bất cứ gì mình muốn.
"It makes sense, does not it?",nó có ý nghĩa không?
They have orders to return home.,họ có lệnh trở về nhà.
"I am sorry, there is nothing more I can do for you","tôi xin lỗi, tôi không thể làm gì thêm cho bạn"
We were allowed to speak either in English or in Japanese.,chúng tôi được phép nói bằng tiếng Anh hoặc tiếng Nhật.
They asked me to leave,họ yêu cầu tôi rời đi
He will never forgive my debt.,anh sẽ không bao giờ tha thứ cho khoản nợ của tôi.
He demanded that we leave at once,anh ấy yêu cầu chúng tôi rời đi ngay lập tức
I am sure Tom appreciates your concern.,Tôi chắc chắn tom đánh giá cao sự quan tâm của bạn.
What is your wife name?,vợ bạn tên gì
Tom missed his chance.,Tom đã bỏ lỡ cơ hội của mình.
I told you Tom would help us out,tôi đã nói với bạn tom sẽ giúp chúng tôi
Please stay here.,xin hãy ở lại đây.
Tom needs a good lawyer,tom cần một luật sư giỏi
I have to reply to this letter.,tôi phải trả lời thư này
I did not stop,tôi đã không dừng lại
I do not sleep a lot.,tôi không ngủ nhiều
Food should not be wasted,thực phẩm không nên lãng phí
I hate you.,tao ghét mày.
Tom told Mary he would be right back,Tom nói với mary anh ấy sẽ quay lại ngay
Tom walked in carrying more supplies.,tom bước vào mang theo nhiều đồ dùng hơn.
That is a pretty good suggestion,đó là một gợi ý khá hay
I can not hide forever.,Tôi không thể trốn mãi được.
She kept me waiting for a long time,cô ấy đã chờ tôi rất lâu
It was cloudy yesterday.,ngày hôm qua trời có mây.
There is a Picasso on the wall,có một picasso trên tường
Dry your eyes.,lau khô mắt
Tom made the children laugh,tom làm cho trẻ em cười
I have a lot of homework.,tôi có rất nhiều bài tập về nhà.
He has the advantage of wealth,anh ta có lợi thế về sự giàu có
I was not busy.,tôi đã không bận
I am beginning to regret hiring Tom,Tôi bắt đầu hối hận vì đã thuê tom
Tom is stoic.,tom là khắc kỷ.
Everyone started laughing at Tom,mọi người bắt đầu cười nhạo tom
"If we do not leave soon, we will be late.","nếu chúng ta không rời đi sớm, chúng ta sẽ bị trễ."
"In addition to my other worries, this has to happen","Ngoài những lo lắng khác của tôi, điều này đã xảy ra"
Tom refused to believe that Mary was guilty.,tom từ chối tin rằng mary có tội.
Tom was angry with himself,tom đã giận chính mình
My luggage did not arrive. What happened?,hành lý của tôi đã không đến. Chuyện gì đã xảy ra?
I think I can help with that,tôi nghĩ rằng tôi có thể giúp với điều đó
I like that it is soft.,tôi thích nó mềm
Tom ran out of gas,tom hết xăng
It is unusual.,nó không bình thường
I will make sure Tom gets this,tôi sẽ đảm bảo tom có được điều này
Please come right away.,hãy đến ngay
Tom ate the last slice of bread so Mary had nothing to eat,tom ăn miếng bánh mì cuối cùng để mary không có gì để ăn
You chose a good one.,bạn đã chọn một cái tốt
I thought it was just going to be us tonight,tôi nghĩ rằng nó sẽ là chúng ta tối nay
I just realized something.,tôi mới nhận ra điều gì đó
I am sorry I am late replying to your email,tôi xin lỗi tôi đến trễ trả lời email của bạn
What is your annual income?,thu nhập hàng năm của bạn là gì?
Nobody answered the telephone,không ai trả lời điện thoại
Tom likes reading detective novels.,tom thích đọc tiểu thuyết trinh thám.
May I do it right now?,tôi có thể làm điều đó ngay bây giờ không?
Tom wanted me to tell you that he was going to be away from the office for a few days.,Tom muốn tôi nói với bạn rằng anh ấy sẽ rời khỏi văn phòng trong vài ngày.
I have a lot of dreams.,tôi có rất nhiều giấc mơ
Children are so vulnerable,trẻ em rất dễ bị tổn thương
Zezo is not my name. It is only a nickname.,zezo không phải là tên của tôi nó chỉ là một biệt danh.
Tom is quite prepared,tom đã chuẩn bị khá
You guys are idiots.,các bạn là những kẻ ngốc.
All the floors in her house are made of wood,tất cả các tầng trong nhà cô đều làm bằng gỗ
He had nothing to do with the case.,ông không có gì để làm với vụ án.
He often appears on TV,anh ấy thường xuất hiện trên tv
"Hey, do not go.","này, đừng đi."
"Would you bring me another one, please?",bạn vui lòng mang cho tôi một cái khác
Do you think you could take this inside for me?,bạn có nghĩ rằng bạn có thể mang cái này bên trong cho tôi?
Personal hygiene is very important.,vệ sinh cá nhân là rất quan trọng.
Spring will come soon,mùa xuân sẽ đến sớm
I'll never forget talking with him there.,Tôi sẽ không bao giờ quên nói chuyện với anh ta ở đó.
Tom is a man of his word,tom là một người đàn ông từ của mình
I knew I was making mistakes.,tôi biết tôi đã phạm sai lầm.
She was such a beautiful girl that everybody turned to look at her as she passed,cô ấy là một cô gái xinh đẹp đến nỗi mọi người đều quay lại nhìn cô ấy khi cô ấy đi qua
You need someone you can trust.,bạn cần một người mà bạn có thể tin tưởng
Why would anyone do such a thing?,Tại sao mọi người sẽ làm một điều như vậy?
Reading is his chief amusement.,đọc sách là niềm vui chính của mình.
Your mail has been successfully sent,thư của bạn đã được gửi thành công
Are you really not going?,bạn thực sự không đi à
Over ten thousand messages are sent every second on Facebook,hơn mười nghìn tin nhắn được gửi mỗi giây trên facebook
I wanted to be like them.,tôi muốn được như họ
The population of the world is increasing very fast,dân số thế giới đang tăng rất nhanh
He's not quite satisfied.,Anh ấy không hoàn toàn hài lòng.
It's past the square,nó đã qua quảng trường
He was happy at the news of her success.,anh hạnh phúc trước tin thành công của cô.
Hold fire,ngưng băn
Why didn't you call the police?,tại sao bạn không gọi cảnh sát?
I looked for him in the supermarket,tôi đã tìm anh ấy trong siêu thị
Did anybody see you there?,có ai thấy bạn ở đó không?
I did not think that he would help us,tôi không nghĩ rằng anh ấy sẽ giúp chúng tôi
I like Elvis Presley. What singer do you like?,tôi thích elvis presley. bạn thích ca sĩ nào
"The sum of 12, 24, 7 and 11 is 54","tổng của 12, 24, 7 và 11 là 54"
"When you come across new words, you must look them up in your dictionary.","Khi bạn gặp những từ mới, bạn phải tra chúng trong từ điển của bạn."
No one has been murdered,không ai bị giết
I wonder how much it would cost to get my house painted.,tôi tự hỏi bao nhiêu chi phí để có được ngôi nhà của tôi sơn.
I should've kept my mouth shut,tôi nên im miệng
Drive with the utmost care.,lái xe với sự chăm sóc tối đa.
He caught them stealing apples,ông bắt chúng ăn cắp táo
He knows how to argue with the manager.,anh ấy biết làm thế nào để tranh luận với người quản lý.
The car is not illegally parked,xe không đậu trái phép
I hope that all your dreams come true.,Tôi hy vọng rằng tất cả những giấc mơ của bạn trở thành sự thật.
I said I was busy,tôi nói tôi bận
We all know.,chúng ta đều biết
Let's make a phone call,hãy gọi điện thoại
It was ours.,nó là của chúng tôi
I don't want your money,tôi không muốn tiền của bạn
I think it just might work.,Tôi nghĩ rằng nó chỉ có thể làm việc.
They're still around,họ vẫn ở xung quanh
Isn't that Tom's hat?,Đó không phải là mũ của tom sao?
"In the morning, I like to put honey on my toast","Vào buổi sáng, tôi thích cho mật ong vào bánh mì nướng của mình"
He is prejudiced against her.,anh định kiến với cô.
I'm sending someone to get you,tôi đang gửi ai đó để giúp bạn
Please join us.,vui lòng tham dự với chúng tôi.
Three Chinese students were admitted to the college,ba sinh viên Trung Quốc được nhận vào đại học
"Speaking about trips, have you ever been to Kobe?","nói về những chuyến đi, bạn đã bao giờ đến kobe chưa?"
Tom was almost hit by a car,tom suýt bị xe đâm
Some people don't like swimming at all.,một số người không thích bơi lội
I don't need a new TV,tôi không cần một chiếc tivi mới
The school is only a five-minute walk away.,trường chỉ cách năm phút đi bộ.
What time did you get up that morning?,bạn thức dậy lúc mấy giờ
The Socialist Party only got 18% of the votes.,đảng xã hội chỉ nhận được 18% số phiếu.
"If you happen to be out this way, be sure to call in at my house","nếu bạn tình cờ ra ngoài theo cách này, hãy chắc chắn gọi vào nhà tôi"
We often took a walk along the seashore together in the morning.,chúng tôi thường đi dạo dọc bờ biển vào buổi sáng.
George did business in the same manner as his father did,george đã làm kinh doanh theo cách tương tự như cha mình đã làm
She is pigeon-toed.,cô ấy là chim bồ câu
Where is the changing room?,phòng thay đồ ở đâu?
I am of the opinion that necessity is the mother of invention.,Tôi cho rằng sự cần thiết là mẹ của sáng chế.
The storm didn't abate for several hours,cơn bão đã không giảm trong vài giờ
Do you like to see animals at the zoo?,Bạn có thích nhìn thấy động vật ở sở thú?
Is this bag yours or his?,cái túi này là của bạn hay của anh ấy?
Something terrible happened to Tom.,một cái gì đó khủng khiếp đã xảy ra với tom.
Where's Tom sitting?,Tom ngồi ở đâu?
My husband reads the newspaper while eating breakfast.,Chồng tôi đọc báo trong khi ăn sáng.
We cannot speak too highly of his great achievements,chúng ta không thể nói quá cao về những thành tựu to lớn của anh ấy
My father rarely goes to extremes.,cha tôi hiếm khi đi đến cực đoan.
Walk calmly to the door,bình tĩnh bước đến cửa
Tom is still at home.,Tom vẫn ở nhà.
I want to go to the city,tôi muốn đi đến thành phố
This coffee has a bitter taste.,cà phê này có vị đắng.
Tom has finally achieved what he set out to do,Tom cuối cùng đã đạt được những gì anh ấy đặt ra để làm
He set out for Tokyo this morning.,Anh lên đường đến Tokyo sáng nay.
I was drinking milk a moment ago,tôi đã uống sữa một lúc trước
This music is so beautiful that it brings tears to my eyes.,âm nhạc này đẹp đến nỗi nó mang đến những giọt nước mắt cho tôi.
I've got some business to take care of,tôi đã có một số công việc để chăm sóc
"When I give the word, start the machine.","Khi tôi cho từ, khởi động máy."
She's in the well,cô ấy ở trong giếng
I was not aware of this.,tôi đã không nhận thức được điều này.
I apologize for not writing to you before,tôi xin lỗi vì đã không viết thư cho bạn trước đây
Tom doesn't have a driver's license.,Tom không có bằng lái xe.
"If your windows are not airtight, moisture will seep in","Nếu cửa sổ của bạn không kín, hơi ẩm sẽ thấm vào"
I wasn't quite sure about that.,tôi không chắc lắm về điều đó
Tom walked into the drugstore,tom bước vào nhà thuốc
It's a mistake.,đó là một sai lầm.
I'm going to stick around and wait for Tom,Tôi sẽ đi xung quanh và chờ đợi tom
She advised him not to go.,Cô khuyên anh đừng đi.
I've caught a lot of fish here. It's a great fishing spot,Tôi đã bắt được rất nhiều cá ở đây. đó là một điểm câu cá tuyệt vời
Tom resumed walking.,Tom tiếp tục đi bộ.
I want you to love me,tôi muốn bạn yêu tôi
Watch out for thieves around here.,coi chừng kẻ trộm quanh đây.
Your efforts will be rewarded in the long run,những nỗ lực của bạn sẽ được đền đáp trong thời gian dài
Tom looks somewhat nervous and apprehensive.,Tom trông hơi lo lắng và e ngại.
He has lost his job,anh ấy đã mất việc
There's nothing to do.,không có gì để làm.
I'll do what I need to do,tôi sẽ làm những gì tôi cần làm
Please fasten your seat belts and prepare for departure.,vui lòng thắt dây an toàn và chuẩn bị khởi hành.
This doesn't seem normal,điều này có vẻ không bình thường
The truck dumped the sand on the ground.,Chiếc xe tải đổ cát xuống đất.
I call him Tom,tôi gọi anh ấy là tom
I understand you've been looking for me.,tôi hiểu bạn đã tìm tôi
These shoes are a little loose,đôi giày này hơi lỏng
What you said yesterday was true.,những gì bạn nói ngày hôm qua là sự thật.
Tom advised him not to buy the secondhand car,tom khuyên anh không nên mua xe cũ
"I write poems, but they're really bad.","Tôi viết những bài thơ, nhưng chúng thực sự tồi tệ."
He can't stop us,anh ấy không thể ngăn chúng tôi
Tom convinced me that Mary was innocent.,tom thuyết phục tôi rằng mary là vô tội.
Tom couldn't wait until the weekend,Tom không thể đợi đến cuối tuần
Tom served dinner.,tom phục vụ bữa tối.
Tom treats his employees generously,tom đối xử với nhân viên của mình một cách hào phóng
He operated the new machine.,Anh vận hành máy mới.
I'll page Tom,tôi sẽ trang tom
I understand Tom was here yesterday.,tôi hiểu tom đã ở đây ngày hôm qua.
It must be Tom,nó phải là tom
"If it's Tom, we've got problems.","Nếu đó là tom, chúng tôi có vấn đề."
"If you try your best now, happiness will come to you","nếu bạn cố gắng hết sức bây giờ, hạnh phúc sẽ đến với bạn"
I know that all of this is just a game.,Tôi biết rằng tất cả những điều này chỉ là một trò chơi.
It's just that easy,nó thật dễ dàng
I think you need to buy a new pair of hiking boots.,Tôi nghĩ rằng bạn cần phải mua một đôi giày đi bộ đường dài mới.
Tom has been up all night,tom đã thức cả đêm
Mary held the baby in her arms.,mary bế đứa bé trên tay.
He walked onto stage while the audience were applauding,anh ấy bước lên sân khấu trong khi khán giả đang vỗ tay
This room does not get much sun.,căn phòng này không nhận được nhiều ánh nắng mặt trời.
I'm being quite honest,tôi khá trung thực
Tom is exercising.,tom đang tập thể dục
I'll mark where there are mistakes in your writing,tôi sẽ đánh dấu nơi có lỗi trong bài viết của bạn
Tom usually keeps his promises.,tom thường giữ lời hứa.
I had a vision,tôi đã có một tầm nhìn
I'm happy for them.,Tôi mừng cho họ.
Tom mucks out the stable almost every day,tom mucks ra ổn định gần như mỗi ngày
I want us to be friends again.,tôi muốn chúng ta làm bạn một lần nữa
I have to hide,tôi phải trốn
I'd be willing to help.,Tôi sẵn sàng giúp đỡ.
What school do you go to?,Bạn đi học trường nào?
All the meat was bad.,tất cả thịt là xấu.
Have you ever seen a spider spinning its web?,Bạn đã bao giờ nhìn thấy một con nhện quay web của nó?
Tom knows he's in trouble now.,Tom biết anh ấy đang gặp rắc rối.
Tom didn't need any help,tom không cần sự giúp đỡ
You look pretty tired.,Trông bạn khá mệt mỏi.
I feel hopeful about the future,tôi cảm thấy hy vọng về tương lai
Tom is in the lead.,tom đang dẫn đầu.
Tom put away his notebook,tom cất cuốn sổ của mình
This is going to be interesting.,Điều này sẽ rất thú vị.
I'd be more than happy to drive you home,tôi sẽ hạnh phúc hơn khi đưa bạn về nhà
He wouldn't hurt a fly.,anh sẽ không làm tổn thương một con ruồi.
McClellan tried to calm Lincoln's fears,mcclellan đã cố gắng làm dịu nỗi sợ hãi của lincoln
Tom is using the Internet to learn Spanish.,tom đang sử dụng internet để học tiếng Tây Ban Nha.
Have you found Tom yet?,bạn đã tìm thấy tom chưa?
Tom told me you'd stop by.,tom nói với tôi bạn sẽ dừng lại
I don't intend to do what Tom told me to do,tôi không có ý định làm những gì tom bảo tôi làm
What were Tom and Mary doing at John's house?,Tom và mary đang làm gì ở nhà của John?
He ended up expelled,cuối cùng anh ta bị trục xuất
I am supposed to meet him at four this afternoon.,tôi dự định gặp anh ấy vào bốn giờ chiều nay.
Tom will make it,tom sẽ làm cho nó
That seems familiar to me.,điều đó có vẻ quen thuộc với tôi
You need to go,bạn cần phải đi
What am I supposed to do now?,Tôi phải làm gì bây giờ?
It's not explainable,nó không thể giải thích
We're having some people over.,chúng tôi đang có một số người hơn.
"The sun set, so they quit work","Mặt trời lặn, vì vậy họ bỏ việc"
Tom and Mary go hiking together every summer.,tom và mary đi leo núi cùng nhau mỗi mùa hè.
Our class went on an excursion to Hakone,lớp chúng tôi đã đi tham quan hakone
Remember to mail the letter on your way to school.,nhớ gửi thư trên đường đến trường.
She wants something very special for her birthday,cô ấy muốn một cái gì đó rất đặc biệt cho ngày sinh nhật của cô ấy
I am no better than a beggar.,tôi không tốt hơn một người ăn xin
You really should've told Tom not to come,bạn thực sự nên nói với tom đừng đến
I can't tell you how worried I've been.,Tôi không thể nói cho bạn biết tôi đã lo lắng như thế nào.
I'm sorry I couldn't be more helpful,tôi xin lỗi tôi không thể hữu ích hơn
Who is the greatest poet in England?,nhà thơ vĩ đại nhất nước Anh là ai?
How much more do we need?,chúng ta cần thêm bao nhiêu nữa
I know I've been acting strangely.,tôi biết tôi đã hành động kỳ lạ.
Tom pulled a bottle of bourbon out of his desk drawer,Tom rút một chai rượu bourbon ra khỏi ngăn kéo bàn
You had a week to get this done.,bạn đã có một tuần để thực hiện điều này.
Tom blew out the candles on the cake,tom thổi nến trên bánh
Do you really want to stay?,bạn có thực sự muốn ở lại không?
Tom is disrespectful,tom là thiếu tôn trọng
What do you think has happened to Tom?,Bạn nghĩ gì đã xảy ra với tom?
Many of Pope's men were not prepared for battle,nhiều người của giáo hoàng đã không chuẩn bị cho trận chiến
I sat at the front in order to hear the lecture clearly.,tôi ngồi ở phía trước để nghe bài giảng rõ ràng.
What types of sandwiches do you have?,bạn có những loại bánh sandwich nào?
Tom volunteered to wash the dishes.,tom tình nguyện rửa chén.
I'm the one who met him,tôi là người đã gặp anh ấy
They came in.,họ bước vào.
Tom has grown accustomed to Mary's nagging,tom đã quen với sự cằn nhằn của mary
Tom gave some candy to his grandchildren.,Tom đã cho một số kẹo cho cháu của mình.
Tom began fixing dinner,tom bắt đầu sửa bữa tối
Maybe we should talk to Tom again.,có lẽ chúng ta nên nói chuyện với tom một lần nữa
Pretend you're me,giả vờ là tôi
He has long hair.,ông có mái tóc dài.
He responded very quickly to my letter,anh ấy đã trả lời thư của tôi rất nhanh
Tom arrived on time.,tom đến đúng giờ
The boy made a fool of himself,cậu bé tự lừa mình
It's right in front of your eyes.,nó ở ngay trước mắt bạn
They made straight for their destination,họ đã đi thẳng đến đích
"Tom was telling the truth about you, wasn't he?","Tom đã nói sự thật về bạn, phải không?"
I'm not just going to wait around and see what happens,Tôi sẽ không chờ đợi để xem điều gì sẽ xảy ra
I come from England.,tôi đến từ nước Anh.
John has a pen,john có một cây bút
My father is getting bald.,Bố tôi đang bị hói.
What are you thinking?,bạn đang nghĩ gì vậy?
I have a friend who lives in Tokyo.,tôi có một người bạn sống ở Tokyo.
How about 12:45?,12:45 thì sao?
I'm happy here.,tôi hạnh phúc ở đây
I will always remember you,Tôi sẽ luôn nhớ đến bạn
I have allergies.,Tôi bị dị ứng.
There were a good many candidates for the position,có rất nhiều ứng cử viên cho vị trí này
Can I have another one?,tôi có thể có một cái khác không?
Horses and donkeys are different,ngựa và lừa là khác nhau
Tom is out grocery shopping.,tom là ra cửa hàng tạp hóa.
He was imprisoned,anh ta bị cầm tù
She became a postman.,cô trở thành một người đưa thư.
He is always isolated from his fellow workers,anh ta luôn bị cô lập với đồng nghiệp
Who's in charge of the sales section?,Ai phụ trách bộ phận bán hàng?
She'll be up and around this afternoon,cô ấy sẽ thức dậy và khoảng chiều nay
Why don't you turn it off?,Tại sao bạn không tắt nó?
Mathematics is her weak point,toán học là điểm yếu của cô ấy
Tom is really quite talented.,Tom thực sự khá tài năng.
He seems to be involved in that matter,anh ấy dường như có liên quan đến vấn đề đó
They took enough provisions for three years at sea.,họ đã có đủ các điều khoản trong ba năm trên biển.
Could I bring you something else?,tôi có thể mang cho bạn cái gì khác không?
This is something I can help you with.,đây là điều tôi có thể giúp bạn
Everybody wants to sit beside her,mọi người muốn ngồi bên cạnh cô ấy
We should've gotten here earlier.,chúng ta nên đến đây sớm hơn
He left everything to her in his will,anh ấy để lại mọi thứ cho cô ấy theo ý muốn
Does anyone oppose the new plan?,Có ai phản đối kế hoạch mới không?
I can hardly understand what she says,tôi khó có thể hiểu những gì cô ấy nói
"Buy low, sell high.","Mua thấp, bán cao."
Tom did that earlier this week,tom đã làm điều đó vào đầu tuần này
He stared at her in astonishment.,anh ngạc nhiên nhìn cô.
I felt it,tôi cảm thấy nó
Do you want some beer?,bạn có muốn uống bia không
Hens don't fly over walls,gà mái không bay qua tường
I'll be free next Sunday.,Tôi sẽ được miễn phí vào chủ nhật tới.
Tom couldn't seem to control his anger,Tom dường như không thể kiềm chế cơn giận của mình
Tom ran up into the woods.,tom chạy lên rừng.
I felt so sleepy that I could hardly keep my eyes open,tôi cảm thấy buồn ngủ đến nỗi tôi khó có thể mở mắt
"Tommy, can you hear me?","Mẹ ơi, con có nghe thấy không?"
"As soon as Tom got Mary alone, he started kissing her","Ngay khi tom có mary một mình, anh bắt đầu hôn cô"
Nothing's wrong with the old one.,không có gì sai với cái cũ
Nothing like that will happen again,không có gì như thế sẽ xảy ra lần nữa
I would like to see your mother.,tôi muốn nhìn thấy mẹ của bạn
Don't worry. It'll be over soon,đừng lo lắng nó sẽ kết thúc sớm thôi
She takes great pleasure in her work.,cô ấy có niềm vui lớn trong công việc của mình.
Akiko has several friends in France,akiko có vài người bạn ở Pháp
Tom says he won't answer any questions.,Tom nói anh ấy sẽ không trả lời bất kỳ câu hỏi nào.
You're in no condition to drive,bạn không có điều kiện để lái xe
Tom has decided to start studying French.,tom đã quyết định bắt đầu học tiếng Pháp.
Why is everyone speaking so quietly?,Tại sao mọi người lại nói rất khẽ?
Tom doesn't have any cash on hand.,Tom không có tiền trong tay.
This box contains five apples,hộp này chứa năm quả táo
Tom often stays up all night.,tom thường thức suốt đêm.
I forgot to turn off the light,tôi quên tắt đèn
"It being Sunday today, we have no school.","hôm nay là chủ nhật, chúng tôi không có trường học"
We'll go in a minute,chúng ta sẽ đi trong một phút
I wonder what it is like to travel through space.,tôi tự hỏi những gì nó giống như đi du lịch trong không gian.
They started fighting,họ bắt đầu chiến đấu
Lie down on your left side.,nằm xuống bên trái của bạn.
Tom was very proud of you,tom rất tự hào về bạn
We must stay together.,chúng ta phải ở cùng nhau
He has overcome many obstacles,anh ấy đã vượt qua nhiều trở ngại
Tom watched the team practice.,tom xem nhóm thực hành.
Tom had what looked like a gin and tonic in his hand,Tom có thứ trông giống như rượu gin và thuốc bổ trong tay
Tom met Mary while he was staying in Boston.,tom gặp mary khi anh đang ở boston.
They never returned to their country,họ không bao giờ trở về đất nước của họ
I'm sorry if I disturbed you.,tôi xin lỗi nếu tôi làm phiền bạn
He's learning French so he can get a better salary,Anh ấy học tiếng Pháp để có thể nhận được mức lương tốt hơn
"All of a sudden, all the lights went out.","Đột nhiên, tất cả các đèn tắt."
When did Tom say that?,Tom đã nói điều đó khi nào?
How does he make money?,anh ấy kiếm tiền bằng cách nào?
The curtains don't let any light in,màn cửa không cho bất kỳ ánh sáng vào
Jane is doing her homework.,Jane đang làm bài tập về nhà của mình.
I didn't want Tom to bother me,tôi không muốn tom làm phiền tôi
Tom considered himself lucky.,tom coi mình là người may mắn.
I'm against the war,tôi chống chiến tranh
Exceptions prove the rule.,ngoại lệ chứng minh quy tắc.
We've got less than an hour,chúng tôi có ít hơn một giờ
"That brown one is mine, too.",cái màu nâu đó cũng là của tôi
Can't we all just get along?,tất cả chúng ta không thể hòa thuận?
Save your appetite for the big dinner.,tiết kiệm sự thèm ăn của bạn cho bữa ăn tối lớn.
Tom is helping them,tom đang giúp họ
I have given him permission to do what he wants to do.,tôi đã cho phép anh ta làm những gì anh ta muốn làm.
Tom has never been sick,tom chưa bao giờ bị bệnh
Dolphins are curious.,Cá heo rất tò mò.
Tom was sitting in an armchair,tom đang ngồi trên ghế bành
I thought you liked parties.,Tôi nghĩ bạn thích các bữa tiệc.
I've seen all I want to see,tôi đã thấy tất cả những gì tôi muốn thấy
"""Did giving Tom the money help?"" ""I don't think it did.""","""đã cho tom tiền giúp đỡ?"" ""Tôi không nghĩ rằng nó đã làm."""
You don't get to quit,bạn không được nghỉ việc
Kelly will appear on TV.,Kelly sẽ xuất hiện trên tv.
That doesn't really answer the question,điều đó không thực sự trả lời câu hỏi
Tom knows he's in trouble.,Tom biết mình đang gặp rắc rối.
He suffered from rheumatism,ông bị bệnh thấp khớp
I do hope there isn't a problem.,tôi hy vọng không có vấn đề gì
I don't want anyone to know where we are,tôi không muốn ai biết chúng ta ở đâu
Are you trying to get me drunk?,bạn đang cố làm tôi say à?
"I'm sorry, I didn't mean to startle you","tôi xin lỗi, tôi không có ý làm bạn giật mình"
Quite a few people came to the meeting yesterday.,khá nhiều người đã đến cuộc họp ngày hôm qua.
Tom isn't invincible,tom không phải là bất khả chiến bại
He enjoys playing tennis.,Anh ấy thích chơi tennis.
I hope to see you the next time you are in Tokyo,tôi hy vọng sẽ gặp lại bạn vào lần tới khi bạn ở Tokyo
A crisis in France could be bad for the United States.,một cuộc khủng hoảng ở Pháp có thể là xấu cho các quốc gia thống nhất.
Tom's cat is always waiting at the door when he arrives home,mèo của tom luôn đợi ở cửa khi anh về đến nhà
They're both laughing.,cả hai đều cười.
I do what I'm told,tôi làm những gì tôi đang nói
Tom lay down and pretended to fall asleep.,tom nằm xuống và giả vờ ngủ.
Tom suggested that I write a message to Mary,tom đề nghị tôi viết một tin nhắn cho mary
I think it's time for me to retire.,Tôi nghĩ rằng đã đến lúc tôi nghỉ hưu.
You always cheat,bạn luôn lừa dối
He spoke softly to the men around him.,anh nói nhỏ nhẹ với những người đàn ông xung quanh.
Will you please show me the way?,bạn vui lòng chỉ đường cho tôi chứ?
I'll put in a good word for you.,Tôi sẽ nói một từ tốt cho bạn.
Tom got his neck broken in a ski accident,Tom bị gãy cổ trong một tai nạn trượt tuyết
I looked around.,tôi nhìn xung quanh
I hid it in my freezer,tôi giấu nó trong tủ đông của tôi
"It grew dark, and what was worse, we lost our way.","Trời tối dần, và điều tồi tệ hơn là chúng tôi lạc đường."
Tom has good eyesight,tom có thị lực tốt
Where does Tom go to school?,tom đi học ở đâu
The box is almost empty,cái hộp gần hết
Why did you paint the bench red?,Tại sao bạn sơn màu đỏ băng ghế?
Stay a little longer,ở lại lâu hơn một chút
This jet travels about three times as fast as the speed of sound.,máy bay phản lực này di chuyển nhanh gấp ba lần tốc độ âm thanh.
